kind,n,seed,alpha,k,third,value,gap_vs_unrestricted_pct,generated_ops,reached_or_expanded_states,time_first,time_second,time_third,time_total
uniform,9,0,2,2,dp,216.526180428,0,5445,1280,0.000502779,0.001404404,0.001737139,0.003653243
uniform,9,0,2,inf,dp,216.526180428,0,11520,1280,0.00496367,0.002845515,0.005651078,0.013469002
uniform,9,0,2,0,astar,220.037824194,1.62181023951,657,1196,0.000262326,5.4568e-05,0.004953986,0.005279234
uniform,9,0,2,1,astar,216.804248206,0.128422242937,2421,1205,2.6692e-05,0.00026072,0.002788696,0.003084887
uniform,9,0,2,2,astar,216.526180428,0,5445,1204,0.000113653,0.000690805,0.005095136,0.005910745
uniform,9,0,2,inf,astar,216.526180428,0,11520,1204,0.001626938,0.0035653,0.004200002,0.009401606
uniform,9,1,2,0,dp,250.195370956,5.84173995007,657,1280,3.63e-06,4.0591e-05,0.000347933,0.000395863
uniform,9,1,2,1,dp,241.802349241,2.29118656291,2421,1280,1.8448e-05,0.000204746,0.000691683,0.00091776
uniform,9,1,2,2,dp,236.386298141,0,5445,1280,0.000218913,0.000663209,0.001766459,0.002653384
uniform,9,1,2,inf,dp,236.386298141,0,11520,1280,0.00098929,0.00141158,0.010713309,0.013120145
uniform,9,1,2,0,astar,250.195370956,5.84173995007,657,1198,3.952e-06,3.977e-05,0.001108746,0.001157796
uniform,9,1,2,1,astar,241.802349241,2.29118656291,2421,1197,1.8265e-05,0.000181114,0.001795416,0.001997888
uniform,9,1,2,2,astar,236.386298141,0,5445,1179,7.9947e-05,0.000494516,0.011531902,0.012110732
uniform,9,1,2,inf,astar,236.386298141,0,11520,1179,0.00095831,0.001425593,0.003488488,0.005878378
uniform,9,2,2,0,dp,222.464502624,6.46715037581,657,1280,3.94e-06,4.2227e-05,0.000353508,0.000404146
uniform,9,2,2,1,dp,208.951307364,0,2421,1280,1.7405e-05,0.000165699,0.000672986,0.000859005
uniform,9,2,2,2,dp,208.951307364,0,5445,1280,0.000105482,0.000466397,0.001155369,0.001730129
uniform,9,2,2,inf,dp,208.951307364,0,11520,1280,0.000932545,0.001379498,0.01200078,0.014316787
uniform,9,2,2,0,astar,222.464502624,6.46715037581,657,1195,4.048e-06,4.0909e-05,0.001102544,0.001153108
uniform,9,2,2,1,astar,208.951307364,0,2421,1153,1.836e-05,0.00019195,0.00178086,0.001994199
uniform,9,2,2,2,astar,208.951307364,0,5445,1153,8.2536e-05,0.002080514,0.009513902,0.01168129
uniform,9,2,2,inf,astar,208.951307364,0,11520,1153,0.000983305,0.001335276,0.00349363,0.005818026
uniform,9,3,2,0,dp,171.12750717,11.9923006266,657,1280,4.679e-06,4.124e-05,0.000315717,0.000365523
uniform,9,3,2,1,dp,152.856080436,0.0347892392098,2421,1280,1.7398e-05,0.000168651,0.000652815,0.000841114
uniform,9,3,2,2,dp,152.856080436,0.0347892392098,5445,1280,8.2939e-05,0.011411475,0.001186219,0.012684656
uniform,9,3,2,inf,dp,152.802921462,0,11520,1280,0.000966537,0.001424799,0.002239349,0.004635599
uniform,9,3,2,0,astar,171.12750717,11.9923006266,657,1164,3.594e-06,4.1094e-05,0.001249647,0.001299574
uniform,9,3,2,1,astar,152.856080436,0.0347892392098,2421,1036,1.8992e-05,0.000197323,0.001634113,0.001853961
uniform,9,3,2,2,astar,152.856080436,0.0347892392098,5445,1043,8.001e-05,0.001705148,0.003530998,0.005319999
uniform,9,3,2,inf,astar,152.802921462,0,11520,1041,0.001000172,0.0014309,0.003688013,0.006124841
uniform,9,4,2,0,dp,243.793028286,9.59006093549,657,1280,3.819e-06,3.976e-05,0.000481832,0.000529671
uniform,9,4,2,1,dp,222.459068099,0,2421,1280,2.1917e-05,0.000376279,0.000693549,0.001098242
uniform,9,4,2,2,dp,222.459068099,0,5445,1280,8.7139e-05,0.000489787,0.004430522,0.005011714
uniform,9,4,2,inf,dp,222.459068099,0,11520,1280,0.002015248,0.001379914,0.002252541,0.005654195
uniform,9,4,2,0,astar,243.793028286,9.59006093549,657,1226,3.74e-06,4.1323e-05,0.001179269,0.001228846
uniform,9,4,2,1,astar,222.459068099,0,2421,1158,1.8195e-05,0.000197053,0.001945832,0.002164637
uniform,9,4,2,2,astar,222.459068099,0,5445,1158,8.257e-05,0.000483154,0.002586343,0.003155975
uniform,9,4,2,inf,astar,222.459068099,0,11520,1158,0.001183583,0.003073477,0.005089941,0.009351651
uniform,10,0,2,0,dp,232.166747608,4.4957656877,910,2816,4.775e-06,5.4101e-05,0.0009214,0.000985854
uniform,10,0,2,1,dp,222.178139067,0,3790,2816,2.3022e-05,0.000253384,0.00224583,0.002526825
uniform,10,0,2,2,dp,222.178139067,0,9670,2816,0.000126913,0.000789067,0.005195661,0.006117225
uniform,10,0,2,inf,dp,222.178139067,0,28160,2816,0.004572098,0.005725879,0.009983403,0.020288766
uniform,10,0,2,0,astar,232.166747608,4.4957656877,910,2633,0.001011787,5.3125e-05,0.003433011,0.004545753
uniform,10,0,2,1,astar,222.178139067,0,3790,2552,2.4927e-05,0.000297373,0.005184257,0.005512249
uniform,10,0,2,2,astar,222.178139067,0,9670,2552,0.000109483,0.000788325,0.009513014,0.010416289
uniform,10,0,2,inf,astar,222.178139067,0,28160,2552,0.003775727,0.004422646,0.019643987,0.02785179
uniform,10,1,2,0,dp,254.28121678,7.56201248971,910,2816,7.968e-06,5.4825e-05,0.003086673,0.003155973
uniform,10,1,2,1,dp,243.998213602,3.21225936914,3790,2816,0.000466846,0.000465668,0.003168946,0.004109113
uniform,10,1,2,2,dp,236.404294503,0,9670,2816,0.000118002,0.000809524,0.004099256,0.005032866
uniform,10,1,2,inf,dp,236.404294503,0,28160,2816,0.003255912,0.004588103,0.009930653,0.017781597
uniform,10,1,2,0,astar,254.28121678,7.56201248971,910,2655,4.996e-06,5.0747e-05,0.003164458,0.003226709
uniform,10,1,2,1,astar,243.998213602,3.21225936914,3790,2650,2.5255e-05,0.000453887,0.006349176,0.00683509
uniform,10,1,2,2,astar,236.404294503,0,9670,2620,0.00011789,0.000787822,0.009699953,0.010611406
uniform,10,1,2,inf,astar,236.404294503,0,28160,2620,0.00260386,0.004988243,0.016001743,0.023600541
uniform,10,2,2,0,dp,226.232202065,7.32243404028,910,2816,6.878e-06,0.000338776,0.001283303,0.001637243
uniform,10,2,2,1,dp,210.79674915,1.34829922876e-14,3790,2816,2.4345e-05,0.00025752,0.002046311,0.002333988
uniform,10,2,2,2,dp,210.79674915,0,9670,2816,0.000129027,0.000779487,0.004246675,0.005160438
uniform,10,2,2,inf,dp,210.79674915,0,28160,2816,0.002610814,0.005384271,0.009339779,0.017341365
uniform,10,2,2,0,astar,226.232202065,7.32243404028,910,2685,5.335e-06,5.8982e-05,0.002937186,0.003008141
uniform,10,2,2,1,astar,210.79674915,1.34829922876e-14,3790,2571,2.2967e-05,0.000240923,0.00805494,0.008323468
uniform,10,2,2,2,astar,210.79674915,0,9670,2573,0.000112215,0.000792695,0.016617265,0.017528837
uniform,10,2,2,inf,astar,210.79674915,0,28160,2573,0.00228461,0.015279431,0.015978081,0.033550326
uniform,10,3,2,0,dp,220.386782309,14.8366587048,910,2816,4.825e-06,5.1215e-05,0.000810413,0.00087132
uniform,10,3,2,1,dp,204.074999539,6.33709892506,3790,2816,2.3479e-05,0.000254715,0.001850375,0.002131914
uniform,10,3,2,2,dp,191.913266021,0,9670,2816,0.000110013,0.000799269,0.004583165,0.005496634
uniform,10,3,2,inf,dp,191.913266021,0,28160,2816,0.004242973,0.004485184,0.009237611,0.017974115
uniform,10,3,2,0,astar,220.386782309,14.8366587048,910,2675,5.037e-06,5.3718e-05,0.004032031,0.004096884
uniform,10,3,2,1,astar,204.074999539,6.33709892506,3790,2617,7.4545e-05,0.000552045,0.005044946,0.005677672
uniform,10,3,2,2,astar,191.913266021,0,9670,2443,0.000112404,0.000827803,0.008772009,0.009719677
uniform,10,3,2,inf,astar,191.913266021,0,28160,2448,0.002504334,0.006720618,0.01395004,0.023182799
uniform,10,4,2,0,dp,244.982505364,10.1247557396,910,2816,5.143e-06,5.5449e-05,0.000895992,0.000961379
uniform,10,4,2,1,dp,222.459068099,0,3790,2816,2.4045e-05,0.000252828,0.002496904,0.002777626
uniform,10,4,2,2,dp,222.459068099,0,9670,2816,0.000125426,0.000841839,0.004067484,0.005041309
uniform,10,4,2,inf,dp,222.459068099,0,28160,2816,0.002408041,0.004024343,0.010982279,0.017421586
uniform,10,4,2,0,astar,244.982505364,10.1247557396,910,2694,4.551e-06,4.9548e-05,0.003046721,0.003106493
uniform,10,4,2,1,astar,222.459068099,0,3790,2510,2.2997e-05,0.000281234,0.006276673,0.006587192
uniform,10,4,2,2,astar,222.459068099,0,9670,2512,0.000200209,0.000892608,0.008137353,0.009274846
uniform,10,4,2,inf,astar,222.459068099,0,28160,2512,0.002510515,0.006986972,0.015634915,0.025139444
