source_file,kind,n,k,third,alpha,value_mean,gap_mean,generated_ops_mean,states_mean,time_total_mean,time_first_mean,time_second_mean,time_third_mean
week3_kind_compare.csv,2-center,9,1,dp,2,202.712577591,0.06420205851,2421.0,1280.0,0.000933483,1.7322666666666666e-05,0.00021149700000000003,0.000702336
week3_kind_compare.csv,2-center,9,2,dp,2,202.59701288066665,0.0,5445.0,1280.0,0.0021842023333333333,9.7831e-05,0.000763321,0.0013195316666666668
week3_kind_compare.csv,2-center,9,inf,dp,2,202.59701288066665,0.0,11520.0,1280.0,0.003934387333333333,0.0009314923333333334,0.0010976863333333334,0.0019016996666666667
week3_kind_compare.csv,2-center,10,0,dp,2,204.90810245233334,1.4982651126433335,910.0,2816.0,0.0013665603333333333,4.036e-06,4.973933333333333e-05,0.0013083800000000003
week3_kind_compare.csv,2-center,10,1,dp,2,202.61944792733334,0.319249668458,3790.0,2816.0,0.0027123313333333333,2.327966666666667e-05,0.00027665733333333335,0.0024081080000000004
week3_kind_compare.csv,2-center,10,2,dp,2,202.04398256366665,0.0,9670.0,2816.0,0.005412911666666667,0.00010313033333333333,0.0007527096666666667,0.004553174666666666
week3_kind_compare.csv,2-center,10,inf,dp,2,202.04398256366665,0.0,28160.0,2816.0,0.016245198333333332,0.0022780996666666668,0.003255806,0.010705889666666668
week3_kind_compare.csv,2-center,11,0,dp,2,214.705282022,2.5677102628666666,1221.0,6144.0,0.0021241103333333334,5.9579999999999995e-06,6.5799e-05,0.0020475136666666667
week3_kind_compare.csv,2-center,11,1,dp,2,210.28637562166668,0.46651190365,5676.0,6144.0,0.005821001,3.1394666666666666e-05,0.0003906633333333333,0.005394687999999999
week3_kind_compare.csv,2-center,11,2,dp,2,209.38872600966667,0.0,16236.0,6144.0,0.015282787333333332,0.0002907506666666667,0.001205269,0.013782296
week3_kind_compare.csv,2-center,11,inf,dp,2,209.38872600966667,0.0,67584.0,6144.0,0.05978011,0.007632870333333333,0.009545858666666667,0.04259396166666667
week3_kind_compare.csv,2-center,12,0,dp,2,216.04934683166667,2.312118783443333,1596.0,13312.0,0.005524522,1.2948666666666667e-05,9.962633333333333e-05,0.005406320333333333
week3_kind_compare.csv,2-center,12,1,dp,2,211.54532086833333,0.18332188283999998,8196.0,13312.0,0.018110664666666665,4.234866666666667e-05,0.0005695763333333333,0.017492758
week3_kind_compare.csv,2-center,12,2,dp,2,211.28339242366667,0.04732477120933334,26016.0,13312.0,0.05250780833333333,0.00023218766666666666,0.00198913,0.05027881866666667
week3_kind_compare.csv,2-center,12,inf,dp,2,211.19224560766668,0.0,159744.0,13312.0,0.26860804666666666,0.02532135933333333,0.038625856666666666,0.20465064366666666
week3_kind_compare.csv,uniform,8,0,dp,2,232.99611838366664,6.298751186446668,456.0,576.0,0.00017520933333333333,4.943333333333333e-06,3.7337e-05,0.00012948
week3_kind_compare.csv,uniform,8,1,dp,2,219.01181394666665,0.0,1464.0,576.0,0.000377203,1.2079666666666667e-05,0.00011641066666666666,0.0002469083333333333
week3_kind_compare.csv,uniform,8,2,dp,2,219.01181394666665,0.0,2864.0,576.0,0.0006864126666666667,5.438166666666667e-05,0.000283435,0.000346571
week3_kind_compare.csv,uniform,8,inf,dp,2,219.01181394666665,0.0,4608.0,576.0,0.0014475893333333334,0.000346413,0.0006410343333333333,0.00045817966666666666
week3_kind_compare.csv,uniform,9,0,dp,2,230.89923259133334,4.6435668551300004,657.0,1280.0,0.00042210699999999996,5.641133333333334e-05,3.7679666666666664e-05,0.00032471700000000003
week3_kind_compare.csv,uniform,9,1,dp,2,222.5193016036667,0.8065362686156666,2421.0,1280.0,0.0008769186666666667,1.6993333333333336e-05,0.0001746256666666667,0.0006830306666666666
week3_kind_compare.csv,uniform,9,2,dp,2,220.62126197766668,0.0,5445.0,1280.0,0.0017497936666666667,8.771666666666665e-05,0.000500326,0.0011589579999999999
week3_kind_compare.csv,uniform,9,inf,dp,2,220.62126197766668,0.0,11520.0,1280.0,0.005542583333333333,0.001039762,0.0025547866666666666,0.0019443046666666665
week3_kind_compare.csv,uniform,10,0,dp,2,237.56005548433333,6.460070739230001,910.0,2816.0,0.0010088616666666668,0.0001324506666666667,5.065466666666666e-05,0.000820707
